Academic Period,Course Section,AMH CF LRV Course Definition,Course Title,Registration Status,Anonymized ID
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,117056712
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,303040591
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,116863626
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,117051323
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,113771882
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,115980902
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,117106482
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,116113622
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,114844362
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,114952319
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,113650242
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,115271768
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,117034491
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,113650666
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,113720901
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,117099337
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,115982658
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,113613793
Fall 2024,RELI 134-01 - Relig Traditions America,AMST 246/ HIST 134/ RELI 134 - Relig Traditions America,Religious Traditions in America: A History of Communities and Their Scriptures,Registered,115965523
